Timestamp,Event,Key_Code
17196770080000000,1,77
17196770080004500,0,77
17196770080009500,1,89
17196770080013000,0,89
17196770080023000,1,32
17196770080028500,0,32
17196770080036000,1,67
17196770080040500,0,67
17196770080048000,1,65
17196770080052500,0,65
17196770080060000,1,84
17196770080064500,0,84
17196770080072000,1,78
17196770080076500,0,78
17196770080084000,1,69
17196770080088500,0,69
17196770080096000,1,32
17196770080100500,0,32
17196770080110000,1,73
17196770080114500,0,73
17196770080122000,1,83
17196770080126500,0,83
17196770080134000,1,32
17196770080138500,0,32
17196770080145000,1,65
17196770080149500,0,65
17196770080157000,1,77
17196770080161500,0,77
17196770080169000,1,32
17196770080173500,0,32
17196770080180000,1,66
17196770080184500,0,66
17196770080192000,1,76
17196770080196500,0,76
17196770080204000,1,79
17196770080208500,0,79
17196770080216000,1,87
17196770080220500,0,87
17196770080228000,1,84
17196770080232500,0,84
17196770080240000,1,72
17196770080244500,0,72
17196770080252000,1,32
17196770080256500,0,32
17196770080265000,1,84
17196770080270000,0,84
17196770080275000,1,72
17196770080280000,0,72
17196770080285000,1,69
17196770080290000,0,69
17196770080295000,1,32
17196770080300000,0,32
17196770080305000,1,81
17196770080310000,0,81
17196770080315000,1,85
17196770080320000,0,85
17196770080325000,1,73
17196770080330000,0,73
17196770080335000,1,67
17196770080340000,0,67
17196770080345000,1,75
17196770080350000,0,75
17196770080355000,1,76
17196770080360000,0,76
17196770080365000,1,89
17196770080370000,0,89
17196770080375000,1,46
17196770080380000,0,46
17196770080385000,1,13
17196770080390000,0,13
17196770080395000,1,66
17196770080400000,0,66
17196770080405000,1,82
17196770080410000,0,82
17196770080415000,1,79
17196770080420000,0,79
17196770080425000,1,87
17196770080430000,0,87
17196770080435000,1,78
17196770080440000,0,78
17196770080445000,1,73
17196770080450000,0,73
17196770080455000,1,78
17196770080460000,0,78
17196770080465000,1,71
17196770080470000,0,71
17196770080475000,1,32
17196770080480000,0,32
17196770080485000,1,76
17196770080490000,0,76
17196770080495000,1,79
17196770080500000,0,79
17196770080505000,1,87
17196770080510000,0,87
17196770080515000,1,65
17196770080520000,0,65
17196770080525000,1,82
17196770080530000,0,82
17196770080535000,1,68
17196770080540000,0,68
17196770080545000,1,83
17196770080550000,0,83
17196770080555000,1,32
17196770080560000,0,32
17196770080565000,1,84
17196770080570000,0,84
17196770080575000,1,72
17196770080580000,0,72
17196770080585000,1,69
17196770080590000,0,69
17196770080595000,1,32
17196770080600000,0,32
17196770080605000,1,77
17196770080610000,0,77
17196770080615000,1,65
17196770080620000,0,65
17196770080625000,1,89
17196770080630000,0,89
17196770080635000,1,32
17196770080640000,0,32
17196770080645000,1,87
17196770080650000,0,87
17196770080655000,1,79
17196770080660000,0,79
17196770080665000,1,82
17196770080670000,0,82
17196770080675000,1,76
17196770080680000,0,76
17196770080685000,1,68
17196770080690000,0,68
17196770080695000,1,46
17196770080700000,0,46
17196770080705000,1,13
17196770080710000,0,13
17196770080715000,1,84
17196770080720000,0,84
17196770080725000,1,72
17196770080730000,0,72
17196770080735000,1,69
17196770080740000,0,69
17196770080745000,1,32
17196770080750000,0,32
17196770080755000,1,81
17196770080760000,0,81
17196770080765000,1,85
17196770080770000,0,85
17196770080775000,1,73
17196770080780000,0,73
17196770080785000,1,67
17196770080790000,0,67
17196770080795000,1,75
17196770080800000,0,75
17196770080805000,1,76
17196770080810000,0,76
17196770080815000,1,89
17196770080820000,0,89
17196770080825000,1,46
17196770080830000,0,46
17196770080835000,1,13
17196770080840000,0,13
17196770080845000,1,66
17196770080850000,0,66
17196770080855000,1,82
17196770080860000,0,82
17196770080865000,1,79
17196770080870000,0,79
17196770080875000,1,87
17196770080880000,0,87
17196770080885000,1,78
17196770080890000,0,78
17196770080895000,1,73
17196770080900000,0,73
17196770080905000,1,78
17196770080910000,0,78
17196770080915000,1,71
17196770080920000,0,71
17196770080925000,1,32
17196770080930000,0,32
17196770080935000,1,76
17196770080940000,0,76
17196770080945000,1,79
17196770080950000,0,79
17196770080955000,1,87
17196770080960000,0,87
17196770080965000,1,65
17196770080970000,0,65
17196770080975000,1,82
17196770080980000,0,82
17196770080985000,1,68
17196770080990000,0,68
17196770080995000,1,83
17196770081000000,0,83
17196770081005000,1,32
17196770081010000,0,32
17196770081015000,1,84
17196770081020000,0,84
17196770081025000,1,72
17196770081030000,0,72
17196770081035000,1,69
17196770081040000,0,69
17196770081045000,1,32
17196770081050000,0,32
17196770081055000,1,77
17196770081060000,0,77
17196770081065000,1,65
17196770081070000,0,65
17196770081075000,1,89
17196770081080000,0,89
17196770081085000,1,32
17196770081090000,0,32
17196770081095000,1,87
17196770081100000,0,87
17196770081105000,1,79
17196770081110000,0,79
17196770081115000,1,82
17196770081120000,0,82
17196770081125000,1,76
17196770081130000,0,76
17196770081135000,1,68
17196770081140000,0,68
17196770081145000,1,46
17196770081150000,0,46
17196770081155000,1,13
17196770081160000,0,13
17196770081165000,1,84
17196770081170000,0,84
17196770081175000,1,72
17196770081180000,0,72
17196770081185000,1,69
17196770081190000,0,69
17196770081195000,1,32
17196770081200000,0,32
17196770081205000,1,81
17196770081210000,0,81
17196770081215000,1,85
17196770081220000,0,85
17196770081225000,1,73
17196770081230000,0,73
17196770081235000,1,67
17196770081240000,0,67
17196770081245000,1,75
17196770081250000,0,75
17196770081255000,1,76
17196770081260000,0,76
17196770081265000,1,89
17196770081270000,0,89
17196770081275000,1,46
17196770081280000,0,46
17196770081285000,1,13
17196770081290000,0,13
17196770081295000,1,66
17196770081300000,0,66
17196770081305000,1,82
17196770081310000,0,82
17196770081315000,1,79
17196770081320000,0,79
17196770081325000,1,87
17196770081330000,0,87
17196770081335000,1,78
17196770081340000,0,78
17196770081345000,1,73
17196770081350000,0,73
17196770081355000,1,78
17196770081360000,0,78
17196770081365000,1,71
17196770081370000,0,71
17196770081375000,1,32
17196770081380000,0,32
17196770081385000,1,76
17196770081390000,0,76
17196770081395000,1,79
17196770081400000,0,79
17196770081405000,1,87
17196770081410000,0,87
17196770081415000,1,65
17196770081420000,0,65
17196770081425000,1,82
17196770081430000,0,82
17196770081435000,1,68
17196770081440000,0,68
17196770081445000,1,83
17196770081450000,0,83
17196770081455000,1,32
17196770081460000,0,32
17196770081465000,1,84
17196770081470000,0,84
17196770081475000,1,72
17196770081480000,0,72
17196770081485000,1,69
17196770081490000,0,69
17196770081495000,1,32
17196770081500000,0,32
17196770081505000,1,77
17196770081510000,0,77
17196770081515000,1,65
17196770081520000,0,65
17196770081525000,1,89
17196770081530000,0,89
17196770081535000,1,32
17196770081540000,0,32
17196770081545000,1,87
17196770081550000,0,87
17196770081555000,1,79
17196770081560000,0,79
17196770081565000,1,82
17196770081570000,0,82
17196770081575000,1,76
17196770081580000,0,76
17196770081585000,1,68
17196770081590000,0,68
17196770081595000,1,46
17196770081600000,0,46
17196770081605000,1,13
17196770081610000,0,13
17196770081615000,1,84
17196770081620000,0,84
17196770081625000,1,72
17196770081630000,0,72
17196770081635000,1,69
17196770081640000,0,69
17196770081645000,1,32
17196770081650000,0,32
17196770081655000,1,81
17196770081660000,0,81
17196770081665000,1,85
17196770081670000,0,85
17196770081675000,1,73
17196770081680000,0,73
17196770081685000,1,67
17196770081690000,0,67
17196770081695000,1,75
17196770081700000,0,75
17196770081705000,1,76
17196770081710000,0,76
17196770081715000,1,89
17196770081720000,0,89
17196770081725000,1,46
17196770081730000,0,46
17196770081735000,1,13
17196770081740000,0,13
17196770081745000,1,66
17196770081750000,0,66
17196770081755000,1,82
17196770081760000,0,82
17196770081765000,1,79
17196770081770000,0,79
17196770081775000,1,87
17196770081780000,0,87
17196770081785000,1,78
17196770081790000,0,78
17196770081795000,1,73
17196770081800000,0,73
17196770081805000,1,78
17196770081810000,0,78
17196770081815000,1,71
17196770081820000,0,71
17196770081825000,1,32
17196770081830000,0,32
17196770081835000,1,76
17196770081840000,0,76
17196770081845000,1,79
17196770081850000,0,79
17196770081855000,1,87
17196770081860000,0,87
17196770081865000,1,65
17196770081870000,0,65
17196770081875000,1,82
17196770081880000,0,82
17196770081885000,1,68
17196770081890000,0,68
17196770081895000,1,83
17196770081900000,0,83
17196770081905000,1,32
17196770081910000,0,32
17196770081915000,1,84
17196770081920000,0,84
17196770081925000,1,72
17196770081930000,0,72
17196770081935000,1,69
17196770081940000,0,69
17196770081945000,1,32
17196770081950000,0,32
17196770081955000,1,77
17196770081960000,0,77
17196770081965000,1,65
17196770081970000,0,65
17196770081975000,1,89
17196770081980000,0,89
17196770081985000,1,32
17196770081990000,0,32
17196770081995000,1,87
